,,,Stand,Hit,Optimal,Optimal Return
3,2,False,"tensor(-0.6156, grad_fn=<SelectBackward0>)","tensor(-0.1923, grad_fn=<SelectBackward0>)",Hit,-0.19226765632629395
3,3,True,"tensor(-0.7525, grad_fn=<SelectBackward0>)","tensor(-0.0777, grad_fn=<SelectBackward0>)",Hit,-0.07774294167757034
3,3,False,"tensor(-0.5485, grad_fn=<SelectBackward0>)","tensor(-0.0581, grad_fn=<SelectBackward0>)",Hit,-0.058122940361499786
3,4,True,"tensor(-0.7203, grad_fn=<SelectBackward0>)","tensor(-0.0514, grad_fn=<SelectBackward0>)",Hit,-0.051436491310596466
3,4,False,"tensor(-0.5380, grad_fn=<SelectBackward0>)","tensor(0.0363, grad_fn=<SelectBackward0>)",Hit,0.03629981726408005
3,5,True,"tensor(-0.7674, grad_fn=<SelectBackward0>)","tensor(-0.0234, grad_fn=<SelectBackward0>)",Hit,-0.02335185557603836
3,5,False,"tensor(-0.5937, grad_fn=<SelectBackward0>)","tensor(0.0834, grad_fn=<SelectBackward0>)",Hit,0.08342467993497849
3,6,True,"tensor(-0.8344, grad_fn=<SelectBackward0>)","tensor(-0.0432, grad_fn=<SelectBackward0>)",Hit,-0.04319114238023758
3,6,False,"tensor(-0.6644, grad_fn=<SelectBackward0>)","tensor(0.0677, grad_fn=<SelectBackward0>)",Hit,0.06774591654539108
3,7,True,"tensor(-0.9015, grad_fn=<SelectBackward0>)","tensor(-0.1138, grad_fn=<SelectBackward0>)",Hit,-0.11375809460878372
3,7,False,"tensor(-0.7247, grad_fn=<SelectBackward0>)","tensor(0.0126, grad_fn=<SelectBackward0>)",Hit,0.012562684714794159
3,8,True,"tensor(-0.9733, grad_fn=<SelectBackward0>)","tensor(-0.2105, grad_fn=<SelectBackward0>)",Hit,-0.2104734480381012
3,8,False,"tensor(-0.7808, grad_fn=<SelectBackward0>)","tensor(-0.0684, grad_fn=<SelectBackward0>)",Hit,-0.06837768107652664
3,9,True,"tensor(-1.0502, grad_fn=<SelectBackward0>)","tensor(-0.3156, grad_fn=<SelectBackward0>)",Hit,-0.31563687324523926
3,9,False,"tensor(-0.8596, grad_fn=<SelectBackward0>)","tensor(-0.1700, grad_fn=<SelectBackward0>)",Hit,-0.17002081871032715
3,10,True,"tensor(-1.1298, grad_fn=<SelectBackward0>)","tensor(-0.4275, grad_fn=<SelectBackward0>)",Hit,-0.42746955156326294
3,10,False,"tensor(-0.9411, grad_fn=<SelectBackward0>)","tensor(-0.2750, grad_fn=<SelectBackward0>)",Hit,-0.27498266100883484
4,1,True,"tensor(-1.2651, grad_fn=<SelectBackward0>)","tensor(-0.4665, grad_fn=<SelectBackward0>)",Hit,-0.4665296673774719
